Trait group	Trait name	ID	Family	Genotype predictive performance	Covariates predictive performance	Full predictive performance	Delta	Number of variants	P	Significant
Disease outcome	/RIVAS_HG19/snpnet/HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	binomial	0.62	0.7	0.73	0.03	7845	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30620	Alanine aminotransferase	gaussian	0.03	0.07	0.1	0.04	7477	0.00e+00	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC5006152	Hayfever rhinitis or eczema diagnosed by doctor	binomial	0.62	0.58	0.64	0.06	7313	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC1001747	Hair colour (natural, before greying) blonde	binomial	0.85	0.53	0.85	0.32	6970	0.00e+00	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC10006152	Hayfever allergic rhinitis or eczema	binomial	0.61	0.58	0.64	0.05	6755	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30890	Vitamin D	gaussian	0.05	0.01	0.06	0.05	6421	0.00e+00	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC4006152	Asthma diagnosed by doctor	binomial	0.64	0.55	0.65	0.1	6139	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC269	High cholesterol	binomial	0.62	0.69	0.73	0.04	5987	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30730	Gamma glutamyltransferase	gaussian	0.04	0.04	0.07	0.04	5701	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC4001747	Hair colour (natural, before greying) dark brown	binomial	0.78	0.52	0.78	0.26	5662	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC643	TTE other hypothyroidism	binomial	0.69	0.69	0.77	0.07	4739	0.00e+00	True
Disease outcome	/RIVAS_HG19/snpnet/HC219	Hypothyroidism/myxoedema	binomial	0.69	0.7	0.77	0.07	4535	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10001727	Ease of skin tanning (Get very tanned)	binomial	0.72	0.58	0.74	0.15	4130	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC7001747	Hair colour (natural, before greying) brown	binomial	0.7	0.53	0.7	0.16	4024	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC40001727	Ease of skin tanning (Never tan, only burn)	binomial	0.74	0.56	0.75	0.19	3159	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30790	Lipoprotein A	gaussian	0.57	0.0	0.57	0.57	2861	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC20001727	Ease of skin tanning (Get moderately tanned)	binomial	0.59	0.53	0.59	0.06	2693	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC3001747	Hair colour (natural, before greying) light brown	binomial	0.63	0.53	0.64	0.11	2127	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30660	Direct bilirubin	gaussian	0.2	0.05	0.26	0.21	1737	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC5001747	Hair colour (natural, before greying) black	binomial	0.83	0.73	0.89	0.16	1649	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC2001747	Hair colour (natural, before greying) red	binomial	0.96	0.56	0.96	0.41	1621	0.00e+00	True
Biomarkers	/RIVAS_HG19/snpnet/INI10030660	Direct bilirubin	gaussian	0.27	0.0	0.27	0.27	1227	0.00e+00	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC30001727	Ease of skin tanning (Get mildly or occasionally tanned)	binomial	0.62	0.57	0.64	0.07	958	0.00e+00	True
Blood assays	/RIVAS_HG19/snpnet/INI30840	Total bilirubin	gaussian	0.3	0.06	0.37	0.3	458	0.00e+00	True
Family history	/RIVAS_HG19/snpnet/FH1065	High BP (FH)	binomial	0.58	0.52	0.59	0.06	13862	2.00e-305	True
Disease outcome	/RIVAS_HG19/snpnet/HC382	Asthma	binomial	0.62	0.53	0.62	0.09	6430	1.31e-289	True
Disease outcome	/RIVAS_HG19/snpnet/HC1581	AD asthma	binomial	0.62	0.54	0.62	0.08	6425	1.20e-285	True
Disease outcome	/RIVAS_HG19/snpnet/HC1036	TTE asthma	binomial	0.61	0.53	0.62	0.09	8508	6.81e-283	True
Blood assays	/RIVAS_HG19/snpnet/INI30750	Glycated haemoglobin (HbA1c)	gaussian	0.07	0.05	0.12	0.07	10448	3.95e-282	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC9006152	Asthma	binomial	0.62	0.54	0.63	0.09	5528	3.10e-281	True
Blood assays	/RIVAS_HG19/snpnet/INI30710	C-reactive protein	gaussian	0.02	0.0	0.03	0.02	4441	2.13e-258	True
Blood pressure	/RIVAS_HG19/snpnet/INI102	Pulse rate (AR)	gaussian	0.06	0.01	0.07	0.06	14455	1.57e-255	True
Blood assays	/RIVAS_HG19/snpnet/INI30870	Triglycerides	gaussian	0.11	0.05	0.15	0.11	12058	2.82e-254	True
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC1001558	Alcohol intake frequency.	gaussian	0.02	0.03	0.05	0.02	8353	1.39e-253	True
Medications	/RIVAS_HG19/snpnet/INI137	# of medications taken	gaussian	0.02	0.07	0.08	0.02	8085	5.71e-250	True
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC1001190	Nap during day	gaussian	0.02	0.04	0.06	0.02	10264	1.39e-231	True
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC10001478	Salt added to food	gaussian	0.02	0.01	0.02	0.02	6651	1.93e-231	True
Blood assays	/RIVAS_HG19/snpnet/INI30850	Testosterone	gaussian	0.01	0.81	0.82	0.01	6647	5.82e-229	True
Blood assays	/RIVAS_HG19/snpnet/INI30650	Aspartate aminotransferase	gaussian	0.03	0.03	0.06	0.03	5729	9.46e-226	True
Anthropometry	/RIVAS_HG19/snpnet/INI23124	Arm fat mass (L)	gaussian	0.08	0.05	0.13	0.08	23676	1.15e-218	True
cancer	/RIVAS_HG19/snpnet/cancer1060	Non-melanoma skin cancer	binomial	0.64	0.66	0.71	0.05	1610	2.14e-218	True
Spirometry	/RIVAS_HG19/snpnet/INI3064	PEF	gaussian	0.02	0.36	0.38	0.02	9523	3.94e-213	True
cancer	/RIVAS_HG19/snpnet/cancer1003	Skin cancer	binomial	0.63	0.65	0.69	0.05	1298	2.14e-212	True
Blood assays	/RIVAS_HG19/snpnet/INI30260	Mean reticulocyte volume	gaussian	0.15	0.01	0.16	0.15	13277	2.06e-207	True
Disease outcome	/RIVAS_HG19/snpnet/HC221	Diabetes	binomial	0.63	0.65	0.7	0.05	4053	2.36e-204	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10001757	Facial ageing (Younger than you are)	binomial	0.58	0.57	0.61	0.03	7676	6.36e-200	True
Blood assays	/RIVAS_HG19/snpnet/INI30210	Eosinophill %	gaussian	0.1	0.01	0.1	0.1	12563	1.67e-196	True
Disease outcome	/RIVAS_HG19/snpnet/HC1159	TTE psoriasis	binomial	0.67	0.53	0.68	0.14	578	2.30e-194	True
Health and medical history	/RIVAS_HG19/snpnet/QT_FC1002178	Overall health rating	gaussian	0.02	0.01	0.03	0.02	10464	5.24e-189	True
Disease outcome	/RIVAS_HG19/snpnet/HC649	TTE non-insulin-dependent diabetes mellitus	binomial	0.63	0.67	0.71	0.04	3496	1.24e-187	True
Anthropometry	/RIVAS_HG19/snpnet/INI23120	Arm fat mass (R)	gaussian	0.08	0.06	0.14	0.08	23528	3.34e-187	True
Blood assays	/RIVAS_HG19/snpnet/INI30000	White blood cell count	gaussian	0.07	0.0	0.07	0.07	13785	1.37e-184	True
Family history	/RIVAS_HG19/snpnet/FH1220	Diabetes (FH)	binomial	0.57	0.51	0.57	0.06	2515	3.36e-180	True
Blood assays	/RIVAS_HG19/snpnet/INI30050	Mean corpuscular haemoglobin	gaussian	0.17	0.02	0.19	0.17	13003	8.73e-174	True
Medical conditions	/RIVAS_HG19/snpnet/INI135	# of self-reported non-cancer illnesses	gaussian	0.01	0.05	0.06	0.01	5212	7.13e-169	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN1980	Worrier / anxious feelings	binomial	0.56	0.59	0.62	0.03	9747	4.32e-164	True
Disease outcome	/RIVAS_HG19/snpnet/HC303	Malabsorption/coeliac disease	binomial	0.83	0.57	0.83	0.26	428	5.99e-163	True
Blood assays	/RIVAS_HG19/snpnet/INI30140	Neutrophill count	gaussian	0.09	0.0	0.09	0.09	15578	1.43e-159	True
Disease outcome	/RIVAS_HG19/snpnet/HC1215	TTE gout	binomial	0.65	0.75	0.79	0.04	1796	7.42e-155	True
Blood pressure	/RIVAS_HG19/snpnet/INI4080	Systolic BP (AR)	gaussian	0.05	0.12	0.17	0.05	15481	1.19e-153	True
Blood assays	/RIVAS_HG19/snpnet/INI30030	Haematocrit %	gaussian	0.07	0.33	0.39	0.07	15721	2.02e-149	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC40001249	Past tobacco smoking (Smoked at least once)	binomial	0.56	0.57	0.6	0.02	6169	2.84e-146	True
Biomarkers	/RIVAS_HG19/snpnet/INI10030840	Total bilirubin	gaussian	0.36	0.0	0.36	0.36	544	2.10e-145	True
Blood assays	/RIVAS_HG19/snpnet/INI30690	Cholesterol	gaussian	0.09	0.04	0.13	0.09	7517	3.86e-145	True
Disease outcome	/RIVAS_HG19/snpnet/HC38	Psoriasis	binomial	0.69	0.55	0.7	0.15	204	7.30e-145	True
Blood assays	/RIVAS_HG19/snpnet/INI30040	Mean corpuscular volume	gaussian	0.2	0.02	0.21	0.2	17311	9.52e-145	True
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC1001170	Getting up in morning	gaussian	0.01	0.06	0.07	0.01	7743	1.17e-142	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI2237	Freq. of playing computer games	gaussian	0.01	0.01	0.02	0.01	5774	1.19e-141	True
Disease outcome	/RIVAS_HG19/snpnet/HC1125	TTE cholelithiasis	binomial	0.62	0.63	0.67	0.04	970	3.68e-141	True
Early life factors	/RIVAS_HG19/snpnet/QT_FC1001687	Comparative body size at age 10	gaussian	0.06	0.0	0.06	0.06	13034	5.21e-136	True
Anthropometry	/RIVAS_HG19/snpnet/INI23125	Arm fat-free mass (L)	gaussian	0.05	0.69	0.73	0.04	30360	1.98e-134	True
Disease outcome	/RIVAS_HG19/snpnet/HC652	TTE unspecified diabetes mellitus	binomial	0.63	0.66	0.7	0.04	2270	1.46e-133	True
Disease outcome	/RIVAS_HG19/snpnet/HC964	TTE atrial fibrillation and flutter	binomial	0.61	0.74	0.76	0.02	2142	8.55e-132	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC30001757	Facial ageing (About your age)	binomial	0.56	0.56	0.59	0.03	6782	2.47e-129	True
Disease outcome	/RIVAS_HG19/snpnet/HC188	Gallstones	binomial	0.62	0.63	0.67	0.04	876	9.26e-129	True
Anthropometry	/RIVAS_HG19/snpnet/INI23126	Arm pred. mass (L)	gaussian	0.04	0.68	0.73	0.04	30666	2.84e-125	True
Biomarkers	/RIVAS_HG19/snpnet/INI10030730	Gamma glutamyltransferase	gaussian	0.14	0.0	0.14	0.14	16280	5.91e-125	True
Blood assays	/RIVAS_HG19/snpnet/INI30780	LDL direct	gaussian	0.1	0.01	0.11	0.1	7318	1.62e-123	True
Disease outcome	/RIVAS_HG19/snpnet/HC1132	TTE intestinal malabsorption	binomial	0.75	0.57	0.76	0.19	443	1.23e-121	True
Disease outcome	/RIVAS_HG19/snpnet/HC942	TTE chronic ischaemic heart disease	binomial	0.59	0.75	0.76	0.01	2168	4.62e-121	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC1006149	Mouth ulcers	binomial	0.58	0.56	0.6	0.04	1648	2.31e-120	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN2000	Worry too long after embarrassment	binomial	0.55	0.58	0.6	0.02	7714	2.35e-120	True
Disease outcome	/RIVAS_HG19/snpnet/HC328	Gout	binomial	0.67	0.77	0.82	0.04	880	6.53e-116	True
Anthropometry	/RIVAS_HG19/snpnet/INI23121	Arm fat-free mass (R)	gaussian	0.04	0.72	0.76	0.04	29063	1.93e-115	True
Blood pressure	/RIVAS_HG19/snpnet/INI4079	Diastolic BP (AR)	gaussian	0.05	0.03	0.08	0.05	14103	1.25e-114	True
Disease outcome	/RIVAS_HG19/snpnet/HC281	Atrial fibrillation	binomial	0.61	0.74	0.76	0.02	2955	5.48e-114	True
Disease outcome	/RIVAS_HG19/snpnet/HC1106	TTE diverticular disease of intestine	binomial	0.58	0.66	0.68	0.02	5757	1.05e-110	True
Disease outcome	/RIVAS_HG19/snpnet/HC440	Atrial flutter	binomial	0.61	0.74	0.76	0.02	2087	1.20e-110	True
Family history	/RIVAS_HG19/snpnet/FH1263	Alzheimer's/dementia (FH)	binomial	0.56	0.58	0.61	0.02	139	1.22e-110	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN1210	Snoring	binomial	0.55	0.61	0.63	0.02	7407	5.73e-108	True
Blood assays	/RIVAS_HG19/snpnet/INI30670	Urea	gaussian	0.04	0.08	0.12	0.04	9808	1.76e-107	True
Bone-densitometry of heel	/RIVAS_HG19/snpnet/INI3147	Heel quantitative ultrasound index (QUI), direct entry	gaussian	0.14	0.05	0.2	0.14	14311	1.57e-104	True
Anthropometry	/RIVAS_HG19/snpnet/INI23122	Arm pred. mass (R)	gaussian	0.04	0.72	0.76	0.04	28988	2.04e-104	True
Bone-densitometry of heel	/RIVAS_HG19/snpnet/INI3144	Heel Broadband ultrasound attenuation, direct entry	gaussian	0.12	0.09	0.21	0.12	13735	1.25e-103	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	binomial	0.56	0.56	0.58	0.03	9694	8.64e-102	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC6006149	Dentures	binomial	0.56	0.72	0.72	0.01	6042	7.22e-100	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC20020116	Previous Smoker	binomial	0.55	0.6	0.61	0.01	4348	1.57e-99	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN1950	Sensitivity / hurt feelings	binomial	0.55	0.6	0.62	0.02	7922	6.61e-99	True
Disease outcome	/RIVAS_HG19/snpnet/HC1242	TTE ankylosing spondylitis	binomial	0.73	0.62	0.75	0.13	10	1.13e-98	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC40002267	Use of sun/uv protection (Always)	binomial	0.56	0.62	0.63	0.01	2594	1.96e-97	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1528	Water intake	gaussian	0.01	0.03	0.04	0.01	4994	4.96e-97	True
Disease outcome	/RIVAS_HG19/snpnet/HC990	TTE varicose veins of lower extremities	binomial	0.61	0.59	0.65	0.05	2563	1.93e-96	True
Disease outcome	/RIVAS_HG19/snpnet/HC422	Ankylosing spondylitis	binomial	0.73	0.61	0.74	0.13	10	2.52e-94	True
Biomarkers	/RIVAS_HG19/snpnet/INI10030850	Testosterone	gaussian	0.03	0.0	0.03	0.03	6250	3.13e-93	True
cancer	/RIVAS_HG19/snpnet/cancer1044	Prostate cancer	binomial	0.64	0.87	0.89	0.02	948	6.24e-92	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC9006154	Paracetamol use self-reported	binomial	0.56	0.58	0.6	0.02	4673	1.02e-86	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1458	Cereal intake	gaussian	0.01	0.01	0.02	0.01	4882	4.68e-86	True
Disease outcome	/RIVAS_HG19/snpnet/HC1021	TTE vasomotor and allergic rhinitis	binomial	0.57	0.57	0.6	0.03	1910	1.00e-83	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1498	Coffee intake	gaussian	0.01	0.01	0.01	0.01	3154	5.88e-83	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI924	Usual walking pace	gaussian	0.01	0.03	0.04	0.01	7535	7.54e-82	True
Disease outcome	/RIVAS_HG19/snpnet/HC702	TTE disorders of porphyrin and bilirubin metabolism	binomial	0.89	0.62	0.91	0.28	5	1.08e-78	True
Lifestyle and environment	/RIVAS_HG19/snpnet/QT_FC1001329	Oily fish intake	gaussian	0.01	0.03	0.04	0.01	3925	2.77e-78	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1488	Tea intake	gaussian	0.01	0.0	0.01	0.01	3119	6.56e-78	True
Disease outcome	/RIVAS_HG19/snpnet/HC225	Cholecystitis	binomial	0.59	0.61	0.64	0.03	391	2.83e-77	True
Blood assays	/RIVAS_HG19/snpnet/INI30070	Red blood cell distribution width	gaussian	0.08	0.01	0.09	0.08	10179	4.79e-77	True
Disease outcome	/RIVAS_HG19/snpnet/HC882	TTE glaucoma	binomial	0.62	0.67	0.7	0.04	2066	2.22e-74	True
Disease outcome	/RIVAS_HG19/snpnet/HC987	TTE phlebitis and thrombophlebitis	binomial	0.59	0.6	0.64	0.04	1143	5.72e-72	True
Disease outcome	/RIVAS_HG19/snpnet/HC401	Varicose veins	binomial	0.61	0.58	0.64	0.05	2603	4.23e-71	True
Spirometry	/RIVAS_HG19/snpnet/INI3062	FVC	gaussian	0.05	0.47	0.51	0.05	20921	1.97e-70	True
Disease outcome	/RIVAS_HG19/snpnet/HC1094	TTE inguinal hernia	binomial	0.58	0.79	0.8	0.01	3085	6.82e-70	True
Others	/RIVAS_HG19/snpnet/BIN10030820	Rheumatoid factor > 16 IU/mL	binomial	0.58	0.55	0.6	0.05	456	2.26e-69	True
cancer	/RIVAS_HG19/snpnet/cancer1002	Breast cancer	binomial	0.6	0.79	0.81	0.02	555	6.19e-69	True
Lifestyle and environment	/RIVAS_HG19/snpnet/BIN_FC10002267	Use of sun/uv protection (Never/rarely)	binomial	0.57	0.68	0.69	0.02	1141	7.97e-69	True
Blood assays	/RIVAS_HG19/snpnet/INI30240	Reticulocyte %	gaussian	0.03	0.0	0.03	0.03	6251	9.57e-69	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC3002247	Hearing difficulty and Deafness	binomial	0.54	0.62	0.63	0.01	3731	5.20e-68	True
Lifestyle and environment	/RIVAS_HG19/snpnet/INI1309	Fresh fruit intake	gaussian	0.01	0.02	0.02	0.01	4257	8.74e-68	True
Disease outcome	/RIVAS_HG19/snpnet/HC937	TTE angina pectoris	binomial	0.57	0.73	0.74	0.01	2524	1.47e-67	True
Disease outcome	/RIVAS_HG19/snpnet/HC689	TTE obesity	binomial	0.58	0.56	0.59	0.04	9227	2.63e-67	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC1002247	Hearing difficulty	binomial	0.54	0.62	0.63	0.01	3098	1.10e-66	True
Disease outcome	/RIVAS_HG19/snpnet/HC624	TTE other coagulation defects	binomial	0.63	0.53	0.65	0.12	1	8.37e-66	True
Biomarkers	/RIVAS_HG19/snpnet/INI10030870	Triglycerides	gaussian	0.14	0.0	0.14	0.14	13593	3.07e-64	True
Urine assays	/RIVAS_HG19/snpnet/INI30510	Creatinine (enzymatic) in urine	gaussian	0.0	0.11	0.11	0.0	3164	9.66e-64	True
Disease outcome	/RIVAS_HG19/snpnet/HC132	Angina	binomial	0.57	0.73	0.74	0.01	2562	1.21e-63	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN_FC20006160	Leisure/social activities (attend sports club or gym in once a week or more often)	binomial	0.55	0.52	0.55	0.03	11361	9.67e-63	True
Disease outcome	/RIVAS_HG19/snpnet/HC868	TTE iridocyclitis	binomial	0.63	0.55	0.66	0.11	1	7.10e-62	True
Disease outcome	/RIVAS_HG19/snpnet/HC243	Inguinal hernia	binomial	0.58	0.79	0.81	0.01	1899	1.24e-61	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN2040	Risk taking	binomial	0.54	0.62	0.63	0.01	4299	2.16e-60	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC11006152	Blood clot or DVT diagnosed by doctor	binomial	0.59	0.58	0.63	0.04	534	1.61e-58	True
Health and medical history	/RIVAS_HG19/snpnet/BIN_FC12006152	Blood clot in the leg (DVT) or lung	binomial	0.59	0.6	0.63	0.04	551	2.74e-57	True
Blood assays	/RIVAS_HG19/snpnet/INI30010	Red blood cell count	gaussian	0.12	0.26	0.37	0.12	20480	5.59e-57	True
Disease outcome	/RIVAS_HG19/snpnet/HC1574	AD myocardial infarction	binomial	0.59	0.75	0.76	0.01	1831	3.82e-56	True
Disease outcome	/RIVAS_HG19/snpnet/HC1261	TTE fibroblastic disorders	binomial	0.58	0.59	0.62	0.03	252	9.74e-56	True
Disease outcome	/RIVAS_HG19/snpnet/HC326	Heart attack (MI)	binomial	0.58	0.75	0.76	0.01	1788	1.20e-55	True
Psychosocial factors	/RIVAS_HG19/snpnet/BIN2010	Suffer from 'nerves'	binomial	0.54	0.54	0.56	0.02	3348	1.27e-54	True
Spirometry	/RIVAS_HG19/snpnet/INI3063	FEV1	gaussian	0.04	0.46	0.51	0.05	17732	8.36e-54	True
